Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
"The Supreme Personality of Godhead said: Fearlessness, purification of one's existence, cultivation of spiritual knowledge, charity, self-control, performance of sacrifice, study of the Vedas, austerity, and honesty; these are the duties of the Brahmins born of their own nature.",1,0,1,0,0,0,0,0,0,0
"Non-violence, truth, non-anger, renunciation, peace, compassion, lack of greed towards beings, gentleness, modesty, and lack of fickleness.",1,0,0,0,0,0,0,0,0,0
"Radiance, forgiveness, fortitude, cleanliness, absence of malice, non-egotism - these qualities constitute divine wealth for one born in Bharat.",1,0,0,0,0,0,0,0,0,0
"Pride, arrogance, conceit, anger, and harshness, these belong to one born of demoniacal qualities, O Partha.",0,0,0,1,0,1,1,0,0,0
"Divine is the wealth that leads to liberation, demonic is that which leads to bondage. Do not grieve, O Arjuna, for you were born with divine qualities.",1,0,1,0,0,0,0,0,0,0
"There are two kinds of beings in this world, the divine and the demoniac. The divine has been described at length, O Arjuna; now hear from me about the demoniac.",0,0,0,1,0,0,0,0,0,0
People do not know the difference between action and inaction; neither cleanliness nor proper behavior nor truth is found among them.,0,0,0,1,0,1,1,0,0,0
"They say this world has no truth, no foundation, no God. It is produced by mutual contact, what else could it be but desire?",0,0,0,1,0,1,1,0,0,0
"Having adopted this wrong view, those with a limited understanding, whose minds are lost, are engaged in harmful actions for the destruction of the world.",0,0,0,1,0,0,1,0,0,0
"Depending on desire, filled with insatiable greed, pride, and arrogance, these impure souls, deluded by ignorance, grasp at false notions and act with impure vows.",0,0,0,1,0,0,1,0,0,0
"Engrossed in immeasurable anxiety until the end of destruction, considering sensual pleasures as the highest, they firmly believe this.",1,0,0,1,0,0,0,0,0,0
"Bound by hundreds of ties of desire and devoted to lust and anger, they strive to amass wealth by unjust means.",0,0,0,1,0,0,1,0,0,0
I have obtained this today. I will achieve this desire. This is mine and I will have more wealth in the future.,1,0,0,0,0,0,0,0,0,0
"I have killed this enemy, and I will kill others as well. I am the lord, the enjoyer, accomplished, powerful, and happy.",1,0,1,0,0,0,0,0,0,0
"I am the most beloved and powerful, who else is like me? Deluded by ignorance, I shall give and rejoice.",1,0,1,0,0,0,0,0,0,0
"Confused by many thoughts, entangled in the net of delusion, attached to the enjoyment of desires, they fall into a foul hell.",0,0,0,1,0,1,1,0,0,0
"Those who are self-conceited, stubborn, filled with pride and arrogance, and perform ostentatious sacrifices without following the prescribed rituals.",0,0,0,0,0,0,1,0,0,0
"Pride, arrogance, conceit, lust, and anger—these are the qualities of those who are born with demonic traits.",0,0,0,1,0,0,1,0,0,0
"I cast those hateful, cruel beings into the cycle of rebirths as demons in a continuous stream.",0,0,0,1,0,1,1,0,0,0
"Entering into demonic wombs, those deluded beings are born again and again in such births, O Arjuna. Failing to attain Me, they thus reach a state of lower existence.",0,0,0,1,0,1,1,0,0,0
"This threefold gate of hell, destructive of the self—lust, anger, and greed—should be abandoned.",0,0,0,0,0,0,1,0,0,0
"Freed from these three gates of darkness, O son of Kunti, a man works for the ultimate good and goes to the supreme goal.",1,0,1,0,0,0,0,0,0,0
"One who disregards the rules of scriptures and acts according to their own desires does not attain success, happiness, or the supreme goal.",0,0,0,1,0,0,1,0,0,0
"Therefore, the scripture is the authority in determining what should and should not be done. Knowing the regulations prescribed by scripture, you should perform your duty here.",1,0,1,0,0,0,0,0,0,0
